country,start_date,end_date,mlrt,low,high,irat,rank
Afghanistan,2020-03-20,2020-05-08,1.23,0.94,1.46,0.96,1.18
Algeria,2020-03-19,2020-05-08,1.1,0.8,1.35,0.99,1.09
Argentina,2020-03-20,2020-05-08,1.04,0.71,1.31,0.86,0.89
Armenia,2020-03-19,2020-05-08,1.5,1.16,1.79,0.96,1.44
Australia,2020-03-01,2020-05-08,1.41,0.8,1.96,0.05,0.07
Austria,2020-03-01,2020-05-08,0.4,0.0,0.8,0.05,0.02
Azerbaijan,2020-03-19,2020-05-08,1.51,1.07,1.88,0.73,1.1
Bahrain,2020-03-11,2020-05-08,1.71,1.4,1.96,1.0,1.71
Bangladesh,2020-03-23,2020-05-08,1.26,1.09,1.4,1.0,1.26
Belarus,2020-03-20,2020-05-08,0.99,0.84,1.12,0.98,0.97
Belgium,2020-03-02,2020-05-08,0.54,0.33,0.72,0.29,0.16
Bolivia,2020-03-24,2020-05-08,1.66,1.32,1.93,1.0,1.66
Brazil,2020-03-01,2020-05-08,1.41,1.34,1.45,1.0,1.41
Bulgaria,2020-03-19,2020-05-08,0.99,0.52,1.39,0.74,0.73
Cameroon,2020-03-22,2020-05-08,0.91,0.5,1.29,0.65,0.59
Canada,2020-03-01,2020-05-08,0.9,0.78,0.99,0.93,0.84
Chile,2020-03-16,2020-05-08,1.45,1.32,1.56,1.0,1.45
China,2020-03-01,2020-05-08,0.0,0.0,0.78,0.01,0.0
Colombia,2020-03-19,2020-05-08,1.42,1.22,1.6,1.0,1.42
Croatia,2020-03-18,2020-05-08,0.03,0.0,0.88,0.09,0.0
Czech Republic,2020-03-02,2020-05-08,0.72,0.25,1.11,0.18,0.13
Denmark,2020-03-01,2020-05-08,0.87,0.55,1.15,0.4,0.35
Djibouti,2020-03-25,2020-05-08,0.0,0.0,0.72,0.07,0.0
Dominican Republic,2020-03-19,2020-05-08,1.15,0.9,1.34,0.99,1.14
Egypt,2020-03-14,2020-05-08,1.35,1.11,1.53,1.0,1.35
Estonia,2020-03-18,2020-05-08,0.0,0.0,0.73,0.07,0.0
Finland,2020-03-19,2020-05-08,1.03,0.68,1.35,0.59,0.61
France,2020-03-01,2020-05-08,1.47,1.33,1.58,0.26,0.38
Germany,2020-03-01,2020-05-08,1.24,1.1,1.35,0.21,0.26
Ghana,2020-03-22,2020-05-08,0.94,0.62,1.2,0.72,0.68
Greece,2020-03-12,2020-05-08,0.37,0.0,0.96,0.13,0.05
Guinea,2020-03-24,2020-05-08,0.46,0.02,0.78,0.68,0.31
Honduras,2020-03-23,2020-05-08,2.23,1.89,2.51,1.0,2.23
Hungary,2020-03-14,2020-05-08,0.26,0.0,0.67,0.44,0.11
Iceland,2020-03-01,2020-05-08,0.0,0.0,1.13,0.01,0.0
India,2020-03-17,2020-05-08,1.53,1.43,1.59,1.0,1.53
Indonesia,2020-03-17,2020-05-08,1.16,0.94,1.34,1.0,1.16
Iran,2020-03-01,2020-05-08,1.37,1.24,1.48,0.4,0.55
Iraq,2020-03-18,2020-05-08,0.82,0.4,1.17,0.78,0.64
Ireland,2020-03-18,2020-05-08,0.47,0.21,0.69,0.28,0.13
Israel,2020-03-13,2020-05-08,0.0,0.0,0.35,0.1,0.0
Italy,2020-03-01,2020-05-08,0.58,0.46,0.68,0.26,0.15
Japan,2020-03-01,2020-05-08,0.44,0.13,0.68,0.28,0.12
Kazakhstan,2020-03-21,2020-05-08,0.88,0.58,1.13,0.91,0.8
Kuwait,2020-03-14,2020-05-08,1.4,1.17,1.58,1.0,1.4
Luxembourg,2020-03-17,2020-05-08,0.26,0.0,0.94,0.06,0.02
Macedonia,2020-03-19,2020-05-08,0.57,0.0,1.06,0.26,0.15
Malaysia,2020-03-11,2020-05-08,0.85,0.45,1.21,0.38,0.32
Mexico,2020-03-18,2020-05-08,1.3,1.18,1.4,1.0,1.3
Moldova,2020-03-18,2020-05-08,0.88,0.53,1.19,0.69,0.61
Morocco,2020-03-19,2020-05-08,1.42,1.12,1.68,0.83,1.18
Netherlands,2020-03-01,2020-05-08,0.79,0.58,0.99,0.31,0.24
New Zealand,2020-03-23,2020-05-08,0.0,0.0,1.2,0.02,0.0
Nigeria,2020-03-21,2020-05-08,1.36,1.09,1.58,1.0,1.36
Norway,2020-03-01,2020-05-08,0.81,0.3,1.22,0.14,0.11
Oman,2020-03-19,2020-05-08,1.03,0.65,1.35,0.83,0.85
Pakistan,2020-03-17,2020-05-08,1.47,1.33,1.57,1.0,1.47
Panama,2020-03-16,2020-05-08,0.93,0.66,1.18,0.86,0.8
Peru,2020-03-16,2020-05-08,1.27,1.18,1.34,1.0,1.27
Philippines,2020-03-14,2020-05-08,1.2,0.96,1.42,0.84,1.01
Poland,2020-03-14,2020-05-08,1.04,0.82,1.25,0.8,0.83
Puerto Rico,2020-04-03,2020-05-08,1.15,0.76,1.5,0.92,1.06
Qatar,2020-03-15,2020-05-08,1.13,0.96,1.26,0.97,1.1
Romania,2020-03-13,2020-05-08,1.11,0.87,1.3,0.87,0.97
Russia,2020-03-03,2020-05-08,1.43,1.38,1.47,1.0,1.43
Saudi Arabia,2020-03-14,2020-05-08,1.25,1.12,1.34,1.0,1.25
Senegal,2020-03-20,2020-05-08,1.18,0.78,1.5,1.0,1.18
Serbia,2020-03-18,2020-05-08,0.0,0.0,0.32,0.31,0.0
Singapore,2020-03-01,2020-05-08,1.14,0.98,1.29,0.68,0.78
Slovakia,2020-03-18,2020-05-08,0.66,0.0,1.26,0.12,0.08
South Africa,2020-03-19,2020-05-08,1.2,0.96,1.37,1.0,1.2
South Korea,2020-03-01,2020-05-08,0.56,0.0,1.22,0.01,0.01
Sudan,2020-03-20,2020-05-08,1.34,0.94,1.69,1.0,1.34
Sweden,2020-03-01,2020-05-08,0.88,0.68,1.04,0.81,0.71
Switzerland,2020-03-01,2020-05-08,0.0,0.0,0.4,0.07,0.0
Thailand,2020-03-19,2020-05-08,0.0,0.0,0.77,0.03,0.0
Turkey,2020-03-23,2020-05-08,0.68,0.56,0.76,0.42,0.29
